ala	arg	asn	asp	cys	gln	glu	gly	his	ile	leu	lys	met	phe	pro	ser	thr	trp	tyr	val
ala	-0.2	0.7	0.7	0.9	-1.0	0.7	1.0	0.2	0.1	-2.0	-2.4	1.2	-1.4	-2.3	0.5	0.5	0.2	-1.3	-0.8	-1.5
arg	0.7	1.0	0.9	0.3	0.0	0.8	0.3	0.8	0.4	-1.1	-1.5	2.0	-0.6	-1.4	0.9	0.9	0.7	-0.9	-0.6	-0.5
asn	0.7	0.9	0.9	0.9	0.0	0.8	1.0	0.8	0.5	-0.7	-1.2	1.3	-0.4	-1.2	1.0	1.0	0.7	-0.5	-0.2	-0.3
asp	0.9	0.3	0.9	1.3	0.1	1.1	1.5	1.0	0.2	-0.6	-0.9	0.9	0.0	-0.9	1.2	0.9	0.8	-0.3	-0.2	0.1
cys	-1.0	0.0	0.0	0.1	-2.9	-0.3	0.3	-0.6	-1.1	-3.0	-3.3	0.6	-2.4	-3.3	-0.5	-0.3	-0.6	-2.4	-1.6	-2.4
gln	0.7	0.8	0.8	1.1	-0.3	1.0	1.1	0.9	0.6	-1.1	-1.5	1.3	-0.8	-1.6	0.8	1.1	0.7	-0.6	-0.4	-0.5
glu	1.0	0.3	1.0	1.5	0.3	1.1	1.6	1.3	0.4	-0.7	-1.0	0.8	-0.3	-1.0	1.3	1.1	0.8	-0.4	-0.2	-0.1
gly	0.2	0.8	0.8	1.0	-0.6	0.9	1.3	0.3	0.4	-1.2	-1.6	1.4	-0.8	-1.6	0.7	0.7	0.5	-0.9	-0.5	-0.8
his	0.1	0.4	0.5	0.2	-1.1	0.6	0.4	0.4	-0.5	-1.6	-2.0	1.2	-1.4	-2.2	0.3	0.4	0.1	-1.4	-1.0	-1.0
ile	-2.0	-1.1	-0.7	-0.6	-3.0	-1.1	-0.7	-1.2	-1.6	-4.0	-4.5	-0.5	-3.5	-4.3	-1.2	-1.0	-1.5	-3.2	-2.7	-3.5
leu	-2.4	-1.5	-1.2	-0.9	-3.3	-1.5	-1.0	-1.6	-2.0	-4.5	-4.8	-0.8	-3.9	-4.7	-1.7	-1.4	-1.8	-3.6	-3.1	-3.9
lys	1.2	2.0	1.3	0.9	0.6	1.3	0.8	1.4	1.2	-0.5	-0.8	2.4	0.1	-0.8	1.6	1.5	1.2	-0.1	-0.1	0.1
met	-1.4	-0.6	-0.4	0.0	-2.4	-0.8	-0.3	-0.8	-1.4	-3.5	-3.9	0.1	-2.9	-4.0	-0.9	-0.5	-1.0	-3.0	-2.4	-2.8
phe	-2.3	-1.4	-1.2	-0.9	-3.3	-1.6	-1.0	-1.6	-2.2	-4.3	-4.7	-0.8	-4.0	-4.7	-1.7	-1.5	-1.7	-3.6	-3.1	-3.7
pro	0.5	0.9	1.0	1.2	-0.5	0.8	1.3	0.7	0.3	-1.2	-1.7	1.6	-0.9	-1.7	0.8	1.0	0.7	-1.2	-0.6	-0.8
ser	0.5	0.9	1.0	0.9	-0.3	1.1	1.1	0.7	0.4	-1.0	-1.4	1.5	-0.5	-1.5	1.0	0.9	0.6	-0.4	-0.2	-0.5
thr	0.2	0.7	0.7	0.8	-0.6	0.7	0.8	0.5	0.1	-1.5	-1.8	1.2	-1.0	-1.7	0.7	0.6	0.4	-0.7	-0.5	-0.9
trp	-1.3	-0.9	-0.5	-0.3	-2.4	-0.6	-0.4	-0.9	-1.4	-3.2	-3.6	-0.1	-3.0	-3.6	-1.2	-0.4	-0.7	-2.5	-2.1	-2.6
tyr	-0.8	-0.6	-0.2	-0.2	-1.6	-0.4	-0.2	-0.5	-1.0	-2.7	-3.1	-0.1	-2.4	-3.1	-0.6	-0.2	-0.5	-2.1	-1.6	-2.1
val	-1.5	-0.5	-0.3	0.1	-2.4	-0.5	-0.1	-0.8	-1.0	-3.5	-3.9	0.1	-2.8	-3.7	-0.8	-0.5	-0.9	-2.6	-2.1	-3.0
